University,Column1,Program_Type,Division,Region,Conference,Employer_Name2,Employer_Name3,Program_Type3,Division4,Region5,Conference6,Column6,
Abilene Christian University,Abilene Christian,MW Program,35-NCAA D-I,South Central (D1)-7,Western Athletic Conference,'Abilene Christian University','Abilene Christian','MW Program','35-NCAA D-I','South Central (D1)-7','Western Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Abilene Christian University','Abilene Christian','MW Program','35-NCAA D-I','South Central (D1)-7','Western Athletic Conference');",
Alabama A&M University,Alabama A&M,MW Program,35-NCAA D-I,South (D1)-6,Southwestern Athletic Conference,'Alabama A&M University','Alabama A&M','MW Program','35-NCAA D-I','South (D1)-6','Southwestern Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Alabama A&M University','Alabama A&M','MW Program','35-NCAA D-I','South (D1)-6','Southwestern Athletic Conference');",
Alabama State University,Alabama State,MW Program,35-NCAA D-I,South (D1)-6,Southwestern Athletic Conference,'Alabama State University','Alabama State','MW Program','35-NCAA D-I','South (D1)-6','Southwestern Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Alabama State University','Alabama State','MW Program','35-NCAA D-I','South (D1)-6','Southwestern Athletic Conference');",
Alcorn State University,Alcorn State,MW Program,35-NCAA D-I,South (D1)-6,Southwestern Athletic Conference,'Alcorn State University','Alcorn State','MW Program','35-NCAA D-I','South (D1)-6','Southwestern Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Alcorn State University','Alcorn State','MW Program','35-NCAA D-I','South (D1)-6','Southwestern Athletic Conference');",
American University,American,MW Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Patriot League,'American University','American','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Patriot League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('American University','American','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Patriot League');",
Appalachian State University,Appalachian State,MW Program,35-NCAA D-I,Southeast (D1)-8,Sun Belt Conference,'Appalachian State University','Appalachian State','MW Program','35-NCAA D-I','Southeast (D1)-8','Sun Belt Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Appalachian State University','Appalachian State','MW Program','35-NCAA D-I','Southeast (D1)-8','Sun Belt Conference');",
Arizona State University,Arizona State,MW Program,35-NCAA D-I,West (D1)-9,Pac-12 Conference,'Arizona State University','Arizona State','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Arizona State University','Arizona State','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference');",
Arkansas State University,Arkansas State,MW Program,35-NCAA D-I,South Central (D1)-7,Sun Belt Conference,'Arkansas State University','Arkansas State','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Arkansas State University','Arkansas State','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference');",
Auburn University,Auburn,MW Program,35-NCAA D-I,South (D1)-6,Southeastern Conference,'Auburn University','Auburn','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Auburn University','Auburn','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference');",
Austin Peay State University,Austin Peay State,Mens CC Womens Program,35-NCAA D-I,South (D1)-6,Ohio Valley Conference,'Austin Peay State University','Austin Peay State','Mens CC Womens Program','35-NCAA D-I','South (D1)-6','Ohio Valley Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Austin Peay State University','Austin Peay State','Mens CC Womens Program','35-NCAA D-I','South (D1)-6','Ohio Valley Conference');",
