values (EVENT,SEASON,ROUND,,,,,,,TIME_DETAIL,QUALIFIER,"""HEAT(PL)""",WIND,);
values (100M,2014,PRELIM,null,Chris Royster,,SR,South Carolina,DNF,,,null,'0.6',);
values (100M,2014,PRELIM,,Trayvon Bromell,,FR,Baylor,9.92,,Q,'1 (1)','2.2',);
values (100M,2014,PRELIM,,Cejhae Greene,,FR,Florida State,10.30,,,'1 (8)','2.2',);
values (100M,2014,PRELIM,,Shavez Hart,,JR,Texas A&M,10.18,,Q,'3 (2)','0.6',);
values (100M,2014,PRELIM,,Antwan Wright,,SO,Florida,10.13,,q,'2 (3)','2.3',);
values (100M,2014,PRELIM,,Dentarius Locke,,SR,Florida State,10.13,,Q,'3 (1)','0.6',);
values (100M,2014,PRELIM,,Desmond Lawrence,,SR,N. Carolina A&T,10.12,,q,'1 (3)','2.2',);
values (100M,2014,PRELIM,,Justin Walker,,SR,Northwestern St.,10.12,,Q,'2 (1)','2.3',);
values (100M,2014,PRELIM,,Clayton Vaughn,,JR,UT-Arlington,10.12,,Q,'2 (2)','2.3',);
values (100M,2014,PRELIM,,Aaron Brown,,SR,USC,10.10,,Q,'1 (2)','2.2',);
values (100M,2014,PRELIM,,Ronnie Baker,,SO,TCU,10.74,,,'3 (7)','0.6',);
values (100M,2014,PRELIM,,BeeJay Lee,,JR,USC,10.38,,,'3 (6)','0.6',);
values (100M,2014,PRELIM,,John Teeters,,SO,Oklahoma State,10.35,,,'2 (8)','2.3',);
values (100M,2014,PRELIM,,Tevin Hester,,SO,Clemson,10.31,,,'3 (5)','0.6',);
values (100M,2014,PRELIM,,"Prezel Hardy, Jr.",,SR,Texas A&M,10.28,,,'3 (4)','0.6',);
values (100M,2014,PRELIM,,Everett Walker,,SR,Baylor,10.27,,,'1 (7)','2.2',);
values (100M,2014,PRELIM,,Nic Bowens,,JR,Utah State,10.27,,,'2 (7)','2.3',);
values (100M,2014,PRELIM,,Johnathan Smith,,SR,Georgia,10.27,,,'3 (3)','0.6',);
values (100M,2014,PRELIM,,Reggie Lewis,,JR,Clemson,10.23,,,'1 (6)','2.2',);
values (100M,2014,PRELIM,,Raheem Mostert,,JR,Purdue,10.22,,,'1 (5)','2.2',);
