EVENT,SEASON,ROUND,PLACE,,,TEAM,TIME,TIME_DETAIL,REACTION TIME,WIND,SCORE,,EVENT,SEASON,ROUND,PLACE,NAME,YEAR,TEAM,TIME_DETAIL,TIME_DETAIL,SCORE,WIND
110H,2014,FINAL,1,'Devon Allen',,Oregon,13.16,,,,10,,'110H',2014,'FINAL',1,'Devon Allen',,'Oregon',13.16,,10,0
110H,2014,FINAL,2,'Aleec Harris',,Southern California,13.18,,,,8,,'110H',2014,'FINAL',2,'Aleec Harris',,'Southern California',13.18,,8,0
110H,2014,FINAL,3,'Wayne Davis',,Jr.,13.24,,,,6,,'110H',2014,'FINAL',3,'Wayne Davis',,'Jr.',13.24,,6,0
110H,2014,FINAL,4,'Greggmar Swift',,Indiana St.,13.35,,,,5,,'110H',2014,'FINAL',4,'Greggmar Swift',,'Indiana St.',13.35,,5,0
110H,2014,FINAL,5,'Eddie Lovett',,Florida,13.44,,,,4,,'110H',2014,'FINAL',5,'Eddie Lovett',,'Florida',13.44,,4,0
110H,2014,FINAL,6,'Vincent Wyatt',,Radford,13.6,,,,3,,'110H',2014,'FINAL',6,'Vincent Wyatt',,'Radford',13.6,,3,0
110H,2014,FINAL,7,'Durell Busby',,Milwaukee,13.7,,,,2,,'110H',2014,'FINAL',7,'Durell Busby',,'Milwaukee',13.7,,2,0
110H,2014,FINAL,8,'Trey Holloway',,Hampton,13.91,,,,1,,'110H',2014,'FINAL',8,'Trey Holloway',,'Hampton',13.91,,1,0
100m,2014,FINAL,1,'Trayvon Bromell',,Baylor,9.97,,,,10,,'100m',2014,'FINAL',1,'Trayvon Bromell',,'Baylor',9.97,,10,0
100m,2014,FINAL,2,'Dentarius Locke',,Florida St.,10.02,,,,8,,'100m',2014,'FINAL',2,'Dentarius Locke',,'Florida St.',10.02,,8,0
100m,2014,FINAL,3,'Aaron Brown',,Southern California,10.07,,,,6,,'100m',2014,'FINAL',3,'Aaron Brown',,'Southern California',10.07,,6,0
100m,2014,FINAL,4,'Justin Walker',,Northwestern St.,10.12,,,,5,,'100m',2014,'FINAL',4,'Justin Walker',,'Northwestern St.',10.12,,5,0
100m,2014,FINAL,5,'Chavez Hart',,Texas A&M,10.15,,,,4,,'100m',2014,'FINAL',5,'Chavez Hart',,'Texas A&M',10.15,,4,0
100m,2014,FINAL,6,'Clayton Vaughn',,Texas-Arlington,,,,,3,,'100m',2014,'FINAL',6,'Clayton Vaughn',,'Texas-Arlington',0,,3,0
100m,2014,FINAL,7,'Desmond Lawrence',,N.C.,10.236,,,,2,,'100m',2014,'FINAL',7,'Desmond Lawrence',,'N.C.',10.236,,2,0
100m,2014,FINAL,8,'Antwan Wright',,Florida,,,,,1,,'100m',2014,'FINAL',8,'Antwan Wright',,'Florida',0,,1,0
400m,2014,FINAL,1,'Deon Lendore',,Texas A&M,45.02,,,,10,,'400m',2014,'FINAL',1,'Deon Lendore',,'Texas A&M',45.02,,10,0
400m,2014,FINAL,2,'Mike Berry',,Oregon,45.07,,,,8,,'400m',2014,'FINAL',2,'Mike Berry',,'Oregon',45.07,,8,0
400m,2014,FINAL,3,'Vernon Norwood',,LSU,45.45,,,,6,,'400m',2014,'FINAL',3,'Vernon Norwood',,'LSU',45.45,,6,0
400m,2014,FINAL,4,'Brycen Spratling',,Pittsburgh,45.49,,,,5,,'400m',2014,'FINAL',4,'Brycen Spratling',,'Pittsburgh',45.49,,5,0
400m,2014,FINAL,5,'Najee Glass',,Florida,45.63,,,,4,,'400m',2014,'FINAL',5,'Najee Glass',,'Florida',45.63,,4,0
400m,2014,FINAL,6,'James Harris',,Florida St.,45.64,,,,3,,'400m',2014,'FINAL',6,'James Harris',,'Florida St.',45.64,,3,0
400m,2014,FINAL,7,'Christopher Giesting',,Notre Dame,46.1,,,,2,,'400m',2014,'FINAL',7,'Christopher Giesting',,'Notre Dame',46.1,,2,0
400H,2014,FINAL,1,'Miles Ukaoma',,Nebraska,49.23,,,,10,,'400H',2014,'FINAL',1,'Miles Ukaoma',,'Nebraska',49.23,,10,0
400H,2014,FINAL,2,'Michael Stigler',,Kansas,49.9,,,,8,,'400H',2014,'FINAL',2,'Michael Stigler',,'Kansas',49.9,,8,0
400H,2014,FINAL,3,'Quincy Downing',,LSU,49.97,,,,6,,'400H',2014,'FINAL',3,'Quincy Downing',,'LSU',49.97,,6,0
400H,2014,FINAL,4,'Timothy Holmes',,Baylor,50.07,,,,5,,'400H',2014,'FINAL',4,'Timothy Holmes',,'Baylor',50.07,,5,0
400H,2014,FINAL,5,'Rilwan Alowonle',,North Carolina,51.06,,,,4,,'400H',2014,'FINAL',5,'Rilwan Alowonle',,'North Carolina',51.06,,4,0
400H,2014,FINAL,6,'Keyunta Hayes',,UTSA,51.65,,,,3,,'400H',2014,'FINAL',6,'Keyunta Hayes',,'UTSA',51.65,,3,0
400H,2014,FINAL,7,'Josh Taylor',,Stephen F. Austin,53.03,,,,2,,'400H',2014,'FINAL',7,'Josh Taylor',,'Stephen F. Austin',53.03,,2,0
400H,2014,FINAL,8,'Trevor Brown',,Colorado St.,1:04.02.,,,,1,,'400H',2014,'FINAL',8,'Trevor Brown',,'Colorado St.',1:04.02.,,1,0
200m,2014,FINAL,1,'Dedric Dukes',,Florida,19.91,,,,10,,'200m',2014,'FINAL',1,'Dedric Dukes',,'Florida',19.91,,10,0
200m,2014,FINAL,2,'Aaron Brown',,Southern California,20.02,,,,8,,'200m',2014,'FINAL',2,'Aaron Brown',,'Southern California',20.02,,8,0
200m,2014,FINAL,3,'Justin Walker',,Northwestern St.,20.13,,,,6,,'200m',2014,'FINAL',3,'Justin Walker',,'Northwestern St.',20.13,,6,0
200m,2014,FINAL,4,'Aaron Ernest',,LSU,20.31,,,,5,,'200m',2014,'FINAL',4,'Aaron Ernest',,'LSU',20.31,,5,0
200m,2014,FINAL,5,'Everett Walker',,Baylor,20.42,,,,4,,'200m',2014,'FINAL',5,'Everett Walker',,'Baylor',20.42,,4,0
200m,2014,FINAL,6,'Khalil Henderson',,Auburn,20.61,,,,3,,'200m',2014,'FINAL',6,'Khalil Henderson',,'Auburn',20.61,,3,0
200m,2014,FINAL,7,'Arthur Delaney',,Oregon,20.79,,,,2,,'200m',2014,'FINAL',7,'Arthur Delaney',,'Oregon',20.79,,2,0
200m,2014,FINAL,8,'Clayton Vaughn',,Texas-Arlington,26.22,,,,1,,'200m',2014,'FINAL',8,'Clayton Vaughn',,'Texas-Arlington',26.22,,1,0
4x1,2014,FINAL,1,Florida,,Florida,38.73,,,,10,,'4x1',2014,'FINAL',1,'Florida',,'Florida',38.73,,10,0
4x1,2014,FINAL,2,Texas A&M,,Texas A&M,38.84,,,,8,,'4x1',2014,'FINAL',2,'Texas A&M',,'Texas A&M',38.84,,8,0
4x1,2014,FINAL,3,LSU,,LSU,38.85,,,,6,,'4x1',2014,'FINAL',3,'LSU',,'LSU',38.85,,6,0
4x1,2014,FINAL,4,Southern California,,Southern California,39.3,,,,5,,'4x1',2014,'FINAL',4,'Southern California',,'Southern California',39.3,,5,0
4x1,2014,FINAL,5,Western Kentucky,,Western Kentucky,39.43,,,,4,,'4x1',2014,'FINAL',5,'Western Kentucky',,'Western Kentucky',39.43,,4,0
4x1,2014,FINAL,6,Iowa,,Iowa,39.55,,,,3,,'4x1',2014,'FINAL',6,'Iowa',,'Iowa',39.55,,3,0
4x1,2014,FINAL,7,Arizona St.,,Arizona St.,39.73,,,,2,,'4x1',2014,'FINAL',7,'Arizona St.',,'Arizona St.',39.73,,2,0
4x1,2014,FINAL,,Alabama,,Alabama,DNF,,,,1,,'4x1',2014,'FINAL',0,'Alabama',,'Alabama',DNF,,1,0
4x4,2014,FINAL,1,Texas A&M,,Texas A&M,02:59.6,,,,10,,'4x4',2014,'FINAL',1,'Texas A&M',,'Texas A&M',02:59.6,,10,0
4x4,2014,FINAL,2,Florida,,Florida,03:00.4,,,,8,,'4x4',2014,'FINAL',2,'Florida',,'Florida',03:00.4,,8,0
4x4,2014,FINAL,3,LSU,,LSU,03:01.6,,,,6,,'4x4',2014,'FINAL',3,'LSU',,'LSU',03:01.6,,6,0
4x4,2014,FINAL,4,Western Kentucky,,Western Kentucky,03:03.9,,,,5,,'4x4',2014,'FINAL',4,'Western Kentucky',,'Western Kentucky',03:03.9,,5,0
4x4,2014,FINAL,5,Arizona St,,Arizona St,03:04.1,,,,4,,'4x4',2014,'FINAL',5,'Arizona St',,'Arizona St',03:04.1,,4,0
4x4,2014,FINAL,6,Nebraska,,Nebraska,03:04.1,,,,3,,'4x4',2014,'FINAL',6,'Nebraska',,'Nebraska',03:04.1,,3,0
4x4,2014,FINAL,7,Baylor,,Baylor,03:04.8,,,,2,,'4x4',2014,'FINAL',7,'Baylor',,'Baylor',03:04.8,,2,0
4x4,2014,FINAL,8,Arkansas,,Arkansas,3:07.26.,,,,1,,'4x4',2014,'FINAL',8,'Arkansas',,'Arkansas',03:07.2,,1,0
10K,2014,FINAL,1,Edward Cheserek,FR,Oregon,28:30.18,'1 (1)',,,10,,,,,,,,,,,,
10K,2014,FINAL,2,Shadrack Kipchirchir,SR,Oklahoma State,28:32.31,'1 (2)',,,8,,,,,,,,,,,,
10K,2014,FINAL,3,Mohammed Ahmed,SR,Wisconsin,28:43.82,'1 (3)',,,6,,,,,,,,,,,,
10K,2014,FINAL,4,Kennedy Kithuka,SR,Texas Tech,28:46.21,'1 (4)',,,5,,,,,,,,,,,,
10K,2014,FINAL,5,Trevor Dunbar,SR,Oregon,28:53.81,'1 (5)',,,4,,,,,,,,,,,,
10K,2014,FINAL,6,Jim Rosa,JR,Stanford,28:57.51,'1 (6)',,,3,,,,,,,,,,,,
10K,2014,FINAL,7,Joe Bosshard,SR,Colorado,29:01.23,'1 (7)',,,2,,,,,,,,,,,,
10K,2014,FINAL,8,Parker Stinson,SR,Oregon,29:01.39,'1 (8)',,,1,,,,,,,,,,,,
10K,2014,FINAL,9,Chris Bendtsen,SR,Princeton,29:14.86,'1 (9)',,,,,,,,,,,,,,,
